listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,count,average_length,number_active_senders,frequency
50,accumulo,1,https://github.com/apache/Accumulo,https://github.com/apache/Accumulo,TRUE,9/12/2011,3/21/2012,2697,1861.2387838338900,18,14.12041884816750
54,airflow,1,https://github.com/apache/Airflow,https://github.com/apache/Airflow,TRUE,3/31/2016,12/19/2018,10055,2550.878170064650,21,10.12588116817720
56,ambari,1,https://github.com/apache/Ambari,https://github.com/apache/Ambari,TRUE,8/30/2011,11/20/2013,975,2267.443076923080,4,2.1714922048997800
58,any23,1,https://github.com/apache/Any23,https://github.com/apache/Any23,TRUE,10/1/2011,8/28/2012,3239,4366.43809817845,15,7.767386091127100
59,apex,1,https://github.com/apache/Apex,https://github.com/apache/apex-core,TRUE,8/17/2015,4/20/2016,2843,6180.847696095670,9,5.333958724202630
61,aries,1,https://github.com/apache/Aries,https://github.com/apache/Aries,TRUE,9/22/2009,12/15/2010,15865,2528.4579262527600,50,48.96604938271610
62,asterixdb,1,https://github.com/apache/AsterixDB,https://github.com/apache/AsterixDB,TRUE,2/28/2015,4/20/2016,5111,2041.8393660731800,22,11.183807439824900
64,aurora,1,https://github.com/apache/Aurora,https://github.com/apache/Aurora,TRUE,10/1/2013,3/18/2015,1900,2186.2015789473700,6,3.646833013435700
65,beam,1,https://github.com/apache/Beam,https://github.com/apache/Beam,TRUE,2/1/2016,12/21/2016,4910,2979.8421588594700,16,15.29595015576320
68,bigtop,1,https://github.com/apache/Bigtop,https://github.com/apache/Bigtop,TRUE,6/20/2011,9/19/2012,10015,1853.678182725910,22,24.308252427184500
72,calcite,1,https://github.com/apache/Calcite,https://github.com/apache/Calcite,TRUE,5/19/2014,10/22/2015,2050,1867.7429268292700,6,1.3594164456233400
73,carbondata,1,https://github.com/apache/CarbonData,https://github.com/apache/CarbonData,TRUE,6/2/2016,4/19/2017,2761,2451.818906193410,7,7.422043010752690
74,cassandra,1,https://github.com/apache/Cassandra,https://github.com/apache/Cassandra,TRUE,1/1/2009,2/17/2010,8595,2890.203955788250,40,10.355421686747000
89,datafu,1,https://github.com/apache/DataFu,https://github.com/apache/DataFu,TRUE,1/5/2014,2/21/2018,9183,1694.5148644233900,30,21.760663507109000
96,distributedlog,1,https://github.com/apache/DistributedLog,https://github.com/apache/DistributedLog,TRUE,6/24/2016,7/1/2017,9267,2579.52821840941,27,14.709523809523800
97,drill,1,https://github.com/apache/Drill,https://github.com/apache/Drill,TRUE,8/11/2012,11/19/2014,3365,2268.9690936107000,12,6.853360488798370
99,eagle,1,https://github.com/apache/Eagle,https://github.com/apache/Eagle,TRUE,10/26/2015,12/21/2016,16955,1917.2343261574800,57,47.76056338028170
104,falcon,1,https://github.com/apache/Falcon,https://github.com/apache/Falcon,TRUE,3/27/2013,12/17/2014,3253,2505.5899169996900,15,13.17004048583000
106,fineract,1,https://github.com/apache/Fineract,https://github.com/apache/Fineract,TRUE,12/15/2015,4/19/2017,7492,2667.4221836625700,36,20.0857908847185
107,flex,1,https://github.com/apache/Flex,https://github.com/apache/flex-sdk,TRUE,12/30/2011,12/19/2012,627,3955.365231259970,3,1.4649532710280400
108,flink,1,https://github.com/apache/Flink,https://github.com/apache/Flink,TRUE,4/14/2014,12/17/2014,9970,2968.6561685055200,47,17.521968365553600
109,flume,1,https://github.com/apache/Flume,https://github.com/apache/Flume,TRUE,6/13/2011,6/20/2012,2287,2224.807608220380,11,7.913494809688580
110,fluo,1,https://github.com/apache/Fluo,https://github.com/apache/Fluo,TRUE,5/17/2016,7/19/2017,3262,1829.874310239120,14,4.555865921787710
111,freemarker,1,https://github.com/apache/FreeMarker,https://github.com/apache/FreeMarker,TRUE,7/1/2015,3/21/2018,1318,1693.4650986342900,9,5.357723577235770
113,geode,1,https://github.com/apache/Geode,https://github.com/apache/Geode,TRUE,4/27/2015,11/16/2016,5403,2272.727743846010,8,8.389751552795030
115,giraph,1,https://github.com/apache/Giraph,https://github.com/apache/Giraph,TRUE,8/1/2011,5/16/2012,7677,2048.693109287480,38,7.134758364312270
117,griffin,1,https://github.com/apache/Griffin,https://github.com/apache/Griffin,TRUE,12/5/2016,11/21/2018,7667,2224.2997260988700,37,21.78125
118,groovy,1,https://github.com/apache/Groovy,https://github.com/apache/Groovy,TRUE,3/17/2015,11/18/2015,13809,2125.525092331090,38,19.36746143057500
119,guacamole,1,https://github.com/apache/Guacamole,https://github.com/apache/guacamole-server,TRUE,2/10/2016,11/15/2017,942,1750.2951167728200,5,1.3832599118942700
122,hawq,1,https://github.com/apache/HAWQ,https://github.com/apache/HAWQ,TRUE,9/4/2015,8/15/2018,2340,2858.0376068376100,16,2.3950870010235400
128,ignite,1,https://github.com/apache/Ignite,https://github.com/apache/Ignite,TRUE,10/1/2014,9/18/2015,5763,2378.959049106370,24,12.081761006289300
129,impala,1,https://github.com/apache/Impala,https://github.com/apache/Impala,TRUE,12/3/2015,11/15/2017,5010,1759.2483033932100,16,21.782608695652200
137,johnzon,1,https://github.com/apache/Johnzon,https://github.com/apache/Johnzon,TRUE,6/9/2014,4/20/2016,4858,4203.481885549610,20,13.569832402234600
138,joshua,1,https://github.com/apache/Joshua,https://github.com/apache/Joshua,TRUE,2/13/2016,10/17/2018,10596,3324.0769158172900,24,33.853035143770000
142,kafka,1,https://github.com/apache/Kafka,https://github.com/apache/Kafka,TRUE,7/4/2011,10/23/2012,28,5914.821428571430,0,0.0502692998204667
