listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,Incubation_Period(days),Number of Direct Forks,Merged_Forks,merge-to-fork ratio,Merge_Frequency,Fork_Frequency
1,amaterasu,0,https://github.com/apache/incubator-Amaterasu,https://github.com/apache/incubator-Amaterasu,TRUE,9/7/2017,,,23,12,0.5217391304347830,,
2,annotator,0,https://github.com/apache/incubator-Annotator,https://github.com/apache/incubator-Annotator,TRUE,8/30/2016,,,35,8,0.2285714285714290,,
3,batchee,0,https://github.com/apache/incubator-BatchEE,https://github.com/apache/incubator-BatchEE,TRUE,10/3/2013,,,18,0,0.0,,
4,brpc,0,https://github.com/apache/incubator-BRPC,https://github.com/apache/incubator-BRPC,TRUE,11/13/2018,,,3780,173,0.0457671957671957,,
5,crail,0,https://github.com/apache/incubator-Crail,https://github.com/apache/incubator-Crail,TRUE,11/1/2017,,,47,5,0.1063829787234040,,
6,daffodil,0,https://github.com/apache/incubator-Daffodil,https://github.com/apache/incubator-Daffodil,TRUE,8/27/2017,,,71,34,0.4788732394366200,,
7,datasketches,0,https://github.com/apache/incubator-DataSketches,https://github.com/apache/incubator-DataSketches,TRUE,3/30/2019,,,9,1,0.1111111111111110,,
8,dlab,0,https://github.com/apache/incubator-DLab,https://github.com/apache/incubator-datalab,TRUE,8/20/2018,,,56,15,0.2678571428571430,,
9,dolphinscheduler,0,https://github.com/apache/incubator-DolphinScheduler,https://github.com/apache/incubator-DolphinScheduler,TRUE,8/29/2019,,,4239,381,0.0898796886058032,,
10,doris,0,https://github.com/apache/incubator-Doris,https://github.com/apache/incubator-Doris,TRUE,7/18/2018,,,2818,557,0.1976579134137690,,
11,druid,0,https://github.com/apache/incubator-Druid,https://github.com/apache/incubator-Druid,TRUE,2/28/2018,,,3464,205,0.0591801385681293,,
12,echarts,0,https://github.com/apache/incubator-ECharts,https://github.com/apache/incubator-ECharts,TRUE,1/18/2018,,,18986,197,0.0103760665753713,,
13,edgent,0,https://github.com/apache/incubator-Edgent,https://github.com/apache/incubator-Edgent,TRUE,2/29/2016,,,138,16,0.1159420289855070,,
14,flagon,0,https://github.com/apache/incubator-Flagon,https://github.com/apache/incubator-Flagon,TRUE,7/13/2016,,,12,6,0.5,,
15,gobblin,0,https://github.com/apache/incubator-Gobblin,https://github.com/apache/incubator-Gobblin,TRUE,2/23/2017,,,709,61,0.0860366713681241,,
16,heron,0,https://github.com/apache/incubator-Heron,https://github.com/apache/incubator-Heron,TRUE,6/23/2017,,,597,22,0.0368509212730318,,
17,hivemall,0,https://github.com/apache/incubator-Hivemall,https://github.com/apache/incubator-Hivemall,TRUE,9/13/2016,,,117,3,0.0256410256410256,,
18,hudi,0,https://github.com/apache/incubator-Hudi,https://github.com/apache/incubator-Hudi,TRUE,1/17/2019,,,2083,446,0.214114258281325,,
19,iceberg,0,https://github.com/apache/incubator-Iceberg,https://github.com/apache/incubator-Iceberg,TRUE,11/16/2018,,,1889,426,0.2255161461090520,,
20,iotdb,0,https://github.com/apache/incubator-IoTDB,https://github.com/apache/incubator-IoTDB,TRUE,11/18/2018,,,929,230,0.247578040904198,,
21,livy,0,https://github.com/apache/incubator-Livy,https://github.com/apache/incubator-Livy,TRUE,6/5/2017,,,532,15,0.0281954887218045,,
22,marvin,0,https://github.com/apache/incubator-Marvin-AI,https://github.com/apache/incubator-marvin,TRUE,8/21/2018,,,33,10,0.303030303030303,,
23,milagro,0,https://github.com/apache/incubator-Milagro,https://github.com/apache/incubator-Milagro,TRUE,12/21/2015,,,12,4,0.3333333333333330,,
24,mxnet,0,https://github.com/apache/incubator-MXNet,https://github.com/apache/incubator-MXNet,TRUE,1/23/2017,,,6528,680,0.1041666666666670,,
25,myriad,0,https://github.com/apache/incubator-Myriad,https://github.com/apache/incubator-Myriad,TRUE,3/1/2015,,,69,6,0.0869565217391304,,
26,nemo,0,https://github.com/apache/incubator-Nemo,https://github.com/apache/incubator-Nemo,TRUE,2/4/2018,,,57,31,0.543859649122807,,
27,omid,0,https://github.com/apache/incubator-Omid,https://github.com/apache/incubator-Omid,TRUE,3/28/2016,,,54,10,0.1851851851851850,,
28,pagespeed,0,https://github.com/apache/incubator-PageSpeed,https://github.com/apache/incubator-pagespeed-ngx,TRUE,9/30/2017,,,355,26,0.0732394366197183,,
29,pinot,0,https://github.com/apache/incubator-Pinot,https://github.com/apache/incubator-Pinot,TRUE,10/17/2018,,,1147,283,0.2467306015693110,,
30,ponymail,0,https://github.com/apache/incubator-PonyMail,https://github.com/apache/incubator-PonyMail,TRUE,5/27/2016,,,29,7,0.2413793103448280,,
31,ratis,0,https://github.com/apache/incubator-Ratis,https://github.com/apache/incubator-Ratis,TRUE,1/3/2017,,,386,78,0.2020725388601040,,
32,rya,0,https://github.com/apache/incubator-Rya,https://github.com/apache/incubator-Rya,TRUE,9/18/2015,,,76,11,0.1447368421052630,,
33,s2graph,0,https://github.com/apache/incubator-S2Graph,https://github.com/apache/incubator-S2Graph,TRUE,11/29/2015,,,65,9,0.1384615384615380,,
34,samoa,0,https://github.com/apache/incubator-SAMOA,https://github.com/apache/incubator-SAMOA,TRUE,12/15/2014,,,102,10,0.0980392156862745,,
35,sdap,0,https://github.com/apache/incubator-SDAP,https://github.com/apache/incubator-sdap-nexus,TRUE,10/22/2017,,,33,21,0.6363636363636360,,
36,shardingsphere,0,https://github.com/apache/incubator-ShardingSphere,https://github.com/apache/incubator-ShardingSphere,TRUE,11/10/2018,,,6376,479,0.0751254705144291,,
37,singa,0,https://github.com/apache/incubator-SINGA,https://github.com/apache/incubator-SINGA,TRUE,3/17/2015,,,1078,63,0.0584415584415584,,
38,spot,0,https://github.com/apache/incubator-Spot,https://github.com/apache/incubator-Spot,TRUE,9/23/2016,,,210,31,0.1476190476190480,,
39,superset,0,https://github.com/apache/incubator-Superset,https://github.com/apache/incubator-Superset,TRUE,5/21/2017,,,11681,286,0.0244842051194247,,
40,tamaya,0,https://github.com/apache/incubator-Tamaya,https://github.com/apache/incubator-Tamaya,TRUE,11/14/2014,,,33,3,0.0909090909090909,,
41,taverna,0,https://github.com/apache/incubator-Taverna,https://github.com/apache/incubator-taverna-workbench,TRUE,10/20/2014,,,9,1,0.1111111111111110,,
42,tephra,0,https://github.com/apache/incubator-Tephra,https://github.com/apache/incubator-Tephra,TRUE,3/7/2016,,,51,1,0.0196078431372549,,
43,toree,0,https://github.com/apache/incubator-Toree,https://github.com/apache/incubator-Toree,TRUE,12/2/2015,,,220,19,0.0863636363636363,,
44,training,0,https://github.com/apache/incubator-Training,https://github.com/apache/incubator-Training,TRUE,2/21/2019,,,28,14,0.5,,
45,tuweni,0,https://github.com/apache/incubator-Tuweni,https://github.com/apache/incubator-Tuweni,TRUE,3/25/2019,,,71,4,0.056338028169014,,
46,tvm,0,https://github.com/apache/incubator-TVM,https://github.com/apache/incubator-TVM,TRUE,3/6/2019,,,3128,74,0.0236572890025575,,
47,warble,0,https://github.com/apache/incubator-Warble,https://github.com/apache/incubator-warble-server,TRUE,6/11/2018,,,1,0,0.0,,
48,weex,0,https://github.com/apache/incubator-Weex,https://github.com/apache/incubator-Weex,TRUE,11/30/2016,,,1794,119,0.0663322185061315,,
49,abdera,1,https://github.com/apache/Abdera,https://github.com/apache/Abdera,TRUE,6/6/2006,11/8/2008,886.0,0,0,0.0,0.0,0.0
50,accumulo,1,https://github.com/apache/Accumulo,https://github.com/apache/Accumulo,TRUE,9/12/2011,3/21/2012,191.0,5,0,0.0,0.0,0.02617801047120420
51,ace,1,https://github.com/apache/ACE,https://github.com/apache/ACE,TRUE,4/24/2009,12/21/2011,971.0,0,0,0.0,0.0,0.0
52,activemq,1,https://github.com/apache/ActiveMQ,https://github.com/apache/ActiveMQ,TRUE,12/1/2005,2/6/2007,432.0,0,0,0.0,0.0,0.0
53,airavata,1,https://github.com/apache/Airavata,https://github.com/apache/Airavata,TRUE,5/5/2011,9/19/2012,503.0,0,0,0.0,0.0,0.0
54,airflow,1,https://github.com/apache/Airflow,https://github.com/apache/Airflow,TRUE,3/31/2016,12/19/2018,993.0,2907,0,0.0,0.0,2.9274924471299100
55,allura,1,https://github.com/apache/Allura,https://github.com/apache/Allura,TRUE,6/25/2012,3/19/2014,632.0,0,0,0.0,0.0,0.0
56,ambari,1,https://github.com/apache/Ambari,https://github.com/apache/Ambari,TRUE,8/30/2011,11/20/2013,813.0,31,0,0.0,0.0,0.038130381303813000
