listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,Incubation_Period(days),Number_of_Forks,contributed_forks,merge_to_fork_ratio,Merge_Frequency,Fork_Frequency,contributors_count,project_size
50,accumulo,1,https://github.com/apache/Accumulo,https://github.com/apache/Accumulo,True,9/12/2011,3/21/2012,191.0,5,0,0.0,0.0,0.0261780104712042,152,Large
54,airflow,1,https://github.com/apache/Airflow,https://github.com/apache/Airflow,True,3/31/2016,12/19/2018,993.0,2907,387,0.13312693498452,0.389728096676737,2.92749244712991,420,Large
56,ambari,1,https://github.com/apache/Ambari,https://github.com/apache/Ambari,True,8/30/2011,11/20/2013,813.0,31,0,0.0,0.0,0.038130381303813,148,Large
58,any23,1,https://github.com/apache/Any23,https://github.com/apache/Any23,True,10/1/2011,8/28/2012,332.0,1,0,0.0,0.0,0.003012048192771,29,Medium
59,apex,1,https://github.com/apache/Apex,https://github.com/apache/apex-core,True,8/17/2015,4/20/2016,247.0,54,26,0.481481481481481,0.105263157894737,0.218623481781377,41,Medium
61,aries,1,https://github.com/apache/Aries,https://github.com/apache/Aries,True,9/22/2009,12/15/2010,449.0,2,0,0.0,0.0,0.0044543429844098,32,Medium
62,asterixdb,1,https://github.com/apache/AsterixDB,https://github.com/apache/AsterixDB,True,2/28/2015,4/20/2016,417.0,21,3,0.142857142857143,0.0071942446043165,0.0503597122302158,65,Medium
64,aurora,1,https://github.com/apache/Aurora,https://github.com/apache/Aurora,True,10/1/2013,3/18/2015,533.0,57,12,0.210526315789474,0.0225140712945591,0.106941838649156,93,Large
65,beam,1,https://github.com/apache/Beam,https://github.com/apache/Beam,True,2/1/2016,12/21/2016,324.0,238,41,0.172268907563025,0.126543209876543,0.734567901234568,304,Large
68,bigtop,1,https://github.com/apache/Bigtop,https://github.com/apache/Bigtop,True,6/20/2011,9/19/2012,457.0,9,0,0.0,0.0,0.0196936542669584,143,Large
72,calcite,1,https://github.com/apache/Calcite,https://github.com/apache/Calcite,True,5/19/2014,10/22/2015,521.0,72,34,0.472222222222222,0.0652591170825336,0.138195777351248,329,Large
73,carbondata,1,https://github.com/apache/CarbonData,https://github.com/apache/CarbonData,True,6/2/2016,4/19/2017,321.0,199,36,0.180904522613065,0.11214953271028,0.61993769470405,175,Large
74,cassandra,1,https://github.com/apache/Cassandra,https://github.com/apache/Cassandra,True,1/1/2009,2/17/2010,412.0,1,0,0.0,0.0,0.0024271844660194,274,Large
78,chukwa,1,https://github.com/apache/Chukwa,https://github.com/apache/Chukwa,True,7/14/2010,9/27/2013,1171.0,6,3,0.5,0.0025619128949615,0.0051238257899231,10,Small
79,clerezza,1,https://github.com/apache/Clerezza,https://github.com/apache/Clerezza,True,11/27/2009,2/20/2013,1181.0,2,0,0.0,0.0,0.0016934801016088,12,Small
82,commonsrdf,1,https://github.com/apache/CommonsRDF,https://github.com/apache/commons-rdf,True,3/6/2015,11/28/2016,633.0,10,4,0.4,0.0063191153238546,0.0157977883096367,16,Small
89,datafu,1,https://github.com/apache/DataFu,https://github.com/apache/DataFu,True,1/5/2014,2/21/2018,1508.0,46,10,0.217391304347826,0.006631299734748,0.0305039787798409,26,Medium
90,deltacloud,1,https://github.com/apache/Deltacloud,https://github.com/apache/Deltacloud,True,5/19/2010,10/26/2011,525.0,3,0,0.0,0.0,0.0057142857142857,17,Small
94,directmemory,1,https://github.com/apache/DirectMemory,https://github.com/apache/DirectMemory,True,10/5/2011,8/15/2012,315.0,4,0,0.0,0.0,0.0126984126984127,7,Small
96,distributedlog,1,https://github.com/apache/DistributedLog,https://github.com/apache/DistributedLog,True,6/24/2016,7/1/2017,372.0,27,9,0.333333333333333,0.0241935483870968,0.0725806451612903,24,Medium
97,drill,1,https://github.com/apache/Drill,https://github.com/apache/Drill,True,8/11/2012,11/19/2014,830.0,122,24,0.19672131147541,0.0289156626506024,0.146987951807229,162,Large
99,eagle,1,https://github.com/apache/Eagle,https://github.com/apache/Eagle,True,10/26/2015,12/21/2016,422.0,73,10,0.136986301369863,0.023696682464455,0.172985781990521,31,Medium
101,empire,1,https://github.com/apache/Empire-db,https://github.com/apache/Empire-db,True,7/8/2008,1/24/2012,1295.0,1,0,0.0,0.0,0.0007722007722007,10,Small
102,esme,1,https://github.com/apache/ESME,https://github.com/apache/ESME,True,12/2/2008,12/15/2010,743.0,2,0,0.0,0.0,0.0026917900403768,2,Small
103,etch,1,https://github.com/apache/Etch,https://github.com/apache/Etch,True,9/2/2008,1/16/2013,1597.0,1,0,0.0,0.0,0.0006261740763932,1,Small
104,falcon,1,https://github.com/apache/Falcon,https://github.com/apache/Falcon,True,3/27/2013,12/17/2014,630.0,21,10,0.476190476190476,0.0158730158730159,0.0333333333333333,24,Medium
106,fineract,1,https://github.com/apache/Fineract,https://github.com/apache/Fineract,True,12/15/2015,4/19/2017,491.0,121,27,0.223140495867769,0.054989816700611,0.246435845213849,189,Large
107,flex,1,https://github.com/apache/Flex,https://github.com/apache/flex-sdk,True,12/30/2011,12/19/2012,355.0,2,0,0.0,0.0,0.0056338028169014,37,Medium
108,flink,1,https://github.com/apache/Flink,https://github.com/apache/Flink,True,4/14/2014,12/17/2014,247.0,60,13,0.216666666666667,0.0526315789473684,0.242914979757085,282,Large
109,flume,1,https://github.com/apache/Flume,https://github.com/apache/Flume,True,6/13/2011,6/20/2012,373.0,15,0,0.0,0.0,0.0402144772117962,61,Medium
110,fluo,1,https://github.com/apache/Fluo,https://github.com/apache/Fluo,True,5/17/2016,7/19/2017,428.0,9,8,0.888888888888889,0.0186915887850467,0.0210280373831776,28,Medium
111,freemarker,1,https://github.com/apache/FreeMarker,https://github.com/apache/FreeMarker,True,7/1/2015,3/21/2018,994.0,68,13,0.191176470588235,0.0130784708249497,0.06841046277666,35,Medium
113,geode,1,https://github.com/apache/Geode,https://github.com/apache/Geode,True,4/27/2015,11/16/2016,569.0,190,56,0.294736842105263,0.0984182776801406,0.333919156414763,132,Large
115,giraph,1,https://github.com/apache/Giraph,https://github.com/apache/Giraph,True,8/1/2011,5/16/2012,289.0,10,0,0.0,0.0,0.0346020761245675,25,Medium
117,griffin,1,https://github.com/apache/Griffin,https://github.com/apache/Griffin,True,12/5/2016,11/21/2018,716.0,122,35,0.286885245901639,0.0488826815642458,0.170391061452514,50,Medium
118,groovy,1,https://github.com/apache/Groovy,https://github.com/apache/Groovy,True,3/17/2015,11/18/2015,246.0,140,62,0.442857142857143,0.252032520325203,0.569105691056911,357,Large
119,guacamole,1,https://github.com/apache/Guacamole,https://github.com/apache/guacamole-server,True,2/10/2016,11/15/2017,644.0,84,11,0.130952380952381,0.0170807453416149,0.130434782608696,58,Medium
120,hama,1,https://github.com/apache/Hama,https://github.com/apache/Hama,True,5/20/2008,5/16/2012,1457.0,1,0,0.0,0.0,0.0006863417982155,16,Small
122,hawq,1,https://github.com/apache/HAWQ,https://github.com/apache/HAWQ,True,9/4/2015,8/15/2018,1076.0,190,40,0.210526315789474,0.0371747211895911,0.176579925650558,62,Medium
